time	bas_active	bas_inactive	bas_ref	bis_active	bis_inactive	bis_ref	dg_active	dg_inactive	dg_ref	ec_active	ec_inactive	ec_ref	ex_active	ex_inactive	ex_ref	ext_active	ext_inactive	ext_ref	hipp_active	hipp_inactive	hipp_ref	in_active	in_inactive	in_ref	ps_active	ps_inactive	ps_ref	septum_active	septum_inactive	septum_ref	
0	0.52	0.48	0	0	1	0	0.18	0.82	0	0.4	0.6	0	0.08	0.92	0	0.48	0.52	0	0	1	0	0.65	0.35	0	0.24	0.76	0	0.64	0.36	0	
1	0.45	0.03	0.52	0	1	0	0.85	0.15	0	0.41	0.59	0	0.16	0.76	0.08	0.27	0.73	0	0	1	0	0.25	0.1	0.65	0.94	0.06	0	0.36	0	0.64	
2	0.01	0.02	0.97	0	1	0	0.17	0.83	0	0.17	0.83	0	0.14	0.62	0.24	0.45	0.55	0	0	1	0	0.02	0.08	0.9	0.77	0.23	0	0	0	1	
3	0	0.02	0.98	0	1	0	0.59	0.41	0	0.18	0.82	0	0	0.62	0.38	0.21	0.79	0	0	1	0	0	0.08	0.92	0.71	0.29	0	0	0	1	
4	0	0.02	0.98	0	1	0	0.09	0.91	0	0.12	0.88	0	0	0.62	0.38	0.07	0.93	0	0	1	0	0	0.08	0.92	0.67	0.33	0	0	0	1	
5	0	0.02	0.98	0	1	0	0.74	0.26	0	0.7	0.3	0	0.01	0.61	0.38	0.76	0.24	0	0	1	0	0	0.08	0.92	0.6	0.4	0	0	0	1	
6	0	0.02	0.98	0	1	0	0.04	0.96	0	0.71	0.29	0	0	0.61	0.39	0.9	0.1	0	0	1	0	0	0.08	0.92	0.04	0.96	0	0	0	1	
7	0	0.02	0.98	0	1	0	0.72	0.28	0	0.95	0.05	0	0	0.61	0.39	0.6	0.4	0	0	1	0	0	0.08	0.92	0.58	0.42	0	0	0	1	
8	0	0.02	0.98	0	1	0	0.04	0.96	0	0.66	0.34	0	0	0.61	0.39	0.8	0.2	0	0	1	0	0	0.08	0.92	0.78	0.22	0	0	0	1	
9	0	0.02	0.98	0	1	0	0.08	0.92	0	0.04	0.96	0	0	0.61	0.39	0.08	0.92	0	0	1	0	0	0.08	0.92	0.46	0.54	0	0	0	1	
10	0	0.02	0.98	0	1	0	0.1	0.9	0	0.53	0.47	0	0	0.61	0.39	0.45	0.55	0	0	1	0	0	0.08	0.92	0.12	0.88	0	0	0	1	
11	0.03	0.51	0.46	0	1	0	0.98	0.02	0	0.46	0.54	0	0	0.61	0.39	0.11	0.89	0	0.09	0.91	0	0.01	0.72	0.27	0.56	0.44	0	0	0	1	
12	0	0.96	0.04	0	1	0	0.62	0.38	0	0.17	0.83	0	0	0.61	0.39	0.88	0.12	0	0.01	0.9	0.09	0	0.97	0.03	0.52	0.48	0	0	0	1	
13	0	0.97	0.03	0	1	0	0.83	0.17	0	0.02	0.98	0	0	0.61	0.39	0.72	0.28	0	0.05	0.85	0.1	0.01	0.98	0.01	0.75	0.25	0	0	0	1	
14	0	0.97	0.03	0	1	0	0.36	0.64	0	0.62	0.38	0	0	0.61	0.39	0.01	0.99	0	0.03	0.82	0.15	0	0.98	0.02	0.62	0.38	0	0	0	1	
15	0	0.97	0.03	0	1	0	0.53	0.47	0	0.55	0.45	0	0	0.61	0.39	0.38	0.62	0	0.06	0.76	0.18	0	0.98	0.02	0.42	0.58	0	0	0	1	
16	0	0.97	0.03	0	1	0	0.02	0.98	0	0.51	0.49	0	0	0.61	0.39	0.12	0.88	0	0.1	0.66	0.24	0.02	0.96	0.02	0.51	0.49	0	0	0	1	
17	0.01	0.96	0.03	0	1	0	0.4	0.6	0	0.45	0.55	0	0	0.69	0.31	0.16	0.84	0	0.01	0.65	0.34	0.01	0.95	0.04	0.08	0.92	0	0	0	1	
18	0.05	0.91	0.04	0	1	0	0.87	0.13	0	0.45	0.55	0	0.01	0.84	0.15	0.23	0.77	0	0.01	0.64	0.35	0.02	0.93	0.05	0.73	0.27	0	0	0	1	
19	0.01	0.9	0.09	0	1	0	0.31	0.69	0	0.82	0.18	0	0.03	0.95	0.02	0.45	0.55	0	0.04	0.6	0.36	0	0.93	0.07	0.1	0.9	0	0	0	1	
20	0	0.9	0.1	0	1	0	0.23	0.77	0	0.06	0.94	0	0	0.95	0.05	0.69	0.31	0	0.01	0.59	0.4	0	0.93	0.07	0.87	0.13	0	0	0	1	
21	0	0.9	0.1	0	1	0	0.37	0.63	0	0.13	0.87	0	0	0.95	0.05	0.98	0.02	0	0	0.59	0.41	0	0.93	0.07	0.39	0.61	0	0	0	1	
22	0.02	0.91	0.07	0	1	0	0.66	0.34	0	0.78	0.22	0	0.01	0.95	0.04	0.99	0.01	0	0	0.68	0.32	0	0.94	0.06	0.39	0.61	0	0	0	1	
23	0	0.91	0.09	0	1	0	0.1	0.9	0	0.8	0.2	0	0.05	0.9	0.05	0.92	0.08	0	0	0.69	0.31	0	0.94	0.06	0.71	0.29	0	0	0	1	
24	0	0.91	0.09	0	1	0	0.98	0.02	0	0.13	0.87	0	0.1	0.8	0.1	0.59	0.41	0	0	0.74	0.26	0.01	0.94	0.05	0.02	0.98	0	0	0	1	
25	0	0.91	0.09	0	1	0	0.57	0.43	0	0.98	0.02	0	0.25	0.55	0.2	0.78	0.22	0	0.01	0.76	0.23	0.01	0.93	0.06	0.73	0.27	0	0	0	1	
26	0	0.91	0.09	0	1	0	0.71	0.29	0	0.22	0.78	0	0.09	0.46	0.45	0.86	0.14	0	0	0.82	0.18	0.01	0.92	0.07	0.09	0.91	0	0	0	1	
27	0	0.91	0.09	0	1	0	0.43	0.57	0	0.66	0.34	0	0	0.46	0.54	0.88	0.12	0	0	0.92	0.08	0	0.94	0.06	0.26	0.74	0	0	0	1	
28	0	0.92	0.08	0	1	0	0.76	0.24	0	0.8	0.2	0	0	0.46	0.54	0.91	0.09	0	0	0.93	0.07	0	0.95	0.05	0.93	0.07	0	0	0	1	
29	0	0.97	0.03	0	1	0	0.93	0.07	0	0.05	0.95	0	0	0.46	0.54	0.85	0.15	0	0.01	0.93	0.06	0	0.97	0.03	0.49	0.51	0	0	0	1	
30	0	0.98	0.02	0	1	0	0.26	0.74	0	0.91	0.09	0	0	0.46	0.54	0.59	0.41	0	0	0.97	0.03	0	0.97	0.03	0.98	0.02	0	0	0	1	
31	0	0.98	0.02	0	1	0	0.46	0.54	0	0.68	0.32	0	0	0.46	0.54	0.34	0.66	0	0.02	0.96	0.02	0	0.97	0.03	0.35	0.65	0	0.3	0.34	0.36	
32	0	0.98	0.02	0	1	0	0.34	0.66	0	0.67	0.33	0	0	0.46	0.54	0.67	0.33	0	0	0.96	0.04	0	0.97	0.03	0.28	0.72	0	0.1	0.6	0.3	
33	0.02	0.98	0	0	1	0	0.86	0.14	0	0.96	0.04	0	0.01	0.45	0.54	0.22	0.78	0	0	0.96	0.04	0	0.97	0.03	0.88	0.12	0	0.02	0.58	0.4	
34	0.02	0.96	0.02	0	1	0	0.83	0.17	0	0.74	0.26	0	0.05	0.4	0.55	0.43	0.57	0	0.01	0.95	0.04	0.02	0.95	0.03	0.53	0.47	0	0	0.58	0.42	
35	0.01	0.95	0.04	0	1	0	0.99	0.01	0	0.03	0.97	0	0.09	0.32	0.59	0.69	0.31	0	0.01	0.94	0.05	0.02	0.94	0.04	0.4	0.6	0	0	0.58	0.42	
