time	bas_active	bas_inactive	bas_ref	bis_active	bis_inactive	bis_ref	ec_active	ec_inactive	ec_ref	ex_active	ex_inactive	ex_ref	ext_active	ext_inactive	ext_ref	hipp_active	hipp_inactive	hipp_ref	in_active	in_inactive	in_ref	ps_active	ps_inactive	ps_ref	septum_active	septum_inactive	septum_ref	
0	1	0	0	0.05	0.95	0	0.91	0.09	0	0.18	0.82	0	0.52	0.48	0	0	1	0	0.58	0.42	0	0.02	0.98	0	0.01	0.99	0	
1	0	0	1	0.64	0.31	0.05	0.07	0.93	0	0.29	0.53	0.18	0.35	0.65	0	0	1	0	0.17	0.25	0.58	0.4	0.6	0	0.85	0.14	0.01	
2	0	0	1	0.02	0.29	0.69	0.87	0.13	0	0.12	0.41	0.47	0.06	0.94	0	0	1	0	0.05	0.2	0.75	0.12	0.88	0	0.02	0.12	0.86	
3	0	0	1	0.13	0.16	0.71	0.13	0.87	0	0	0.41	0.59	0.72	0.28	0	0	1	0	0.13	0.07	0.8	0.95	0.05	0	0.11	0.01	0.88	
4	0	0	1	0	0.16	0.84	0.04	0.96	0	0	0.41	0.59	0.15	0.85	0	0	1	0	0	0.07	0.93	0.02	0.98	0	0	0.01	0.99	
5	0	0	1	0.01	0.15	0.84	0.46	0.54	0	0	0.41	0.59	0.78	0.22	0	0	1	0	0	0.07	0.93	0.62	0.38	0	0	0.01	0.99	
6	0	0	1	0	0.15	0.85	0.67	0.33	0	0	0.41	0.59	0.47	0.53	0	0	1	0	0	0.07	0.93	0.97	0.03	0	0	0.01	0.99	
7	0	0	1	0	0.15	0.85	0.35	0.65	0	0	0.41	0.59	0.66	0.34	0	0	1	0	0	0.07	0.93	0.94	0.06	0	0	0.01	0.99	
8	0	0	1	0	0.15	0.85	0.94	0.06	0	0	0.41	0.59	0.16	0.84	0	0	1	0	0	0.07	0.93	0.06	0.94	0	0	0.01	0.99	
9	0	0	1	0	0.15	0.85	0.14	0.86	0	0	0.41	0.59	0.46	0.54	0	0	1	0	0	0.07	0.93	0.96	0.04	0	0	0.01	0.99	
10	0	0	1	0	0.15	0.85	0.07	0.93	0	0	0.41	0.59	0.28	0.72	0	0	1	0	0	0.07	0.93	0.07	0.93	0	0	0.01	0.99	
11	0.19	0.81	0	0.01	0.19	0.8	0.14	0.86	0	0	0.41	0.59	0.03	0.97	0	0.01	0.99	0	0.04	0.61	0.35	0.57	0.43	0	0	0.01	0.99	
12	0.03	0.78	0.19	0	0.83	0.17	0.48	0.52	0	0	0.41	0.59	0.45	0.55	0	0.03	0.96	0.01	0.02	0.76	0.22	0.99	0.01	0	0	0.01	0.99	
13	0	0.78	0.22	0	0.85	0.15	0.52	0.48	0	0	0.41	0.59	0.35	0.65	0	0.01	0.95	0.04	0	0.81	0.19	0.38	0.62	0	0	0.01	0.99	
14	0	0.78	0.22	0	0.98	0.02	0.21	0.79	0	0	0.41	0.59	0.7	0.3	0	0.06	0.89	0.05	0.01	0.93	0.06	0.65	0.35	0	0	0.01	0.99	
15	0	0.78	0.22	0	0.98	0.02	0.5	0.5	0	0	0.41	0.59	0.56	0.44	0	0.08	0.81	0.11	0	0.93	0.07	0.08	0.92	0	0	0.01	0.99	
16	0.01	0.77	0.22	0	0.99	0.01	0.79	0.21	0	0	0.41	0.59	0.3	0.7	0	0.17	0.64	0.19	0	0.93	0.07	0.45	0.55	0	0	0.01	0.99	
17	0.01	0.76	0.23	0	0.99	0.01	0.99	0.01	0	0	0.59	0.41	0.91	0.09	0	0.07	0.57	0.36	0.01	0.92	0.07	0.42	0.58	0	0	0.01	0.99	
18	0	0.76	0.24	0	0.99	0.01	0.37	0.63	0	0.01	0.87	0.12	0.65	0.35	0	0.15	0.42	0.43	0	0.92	0.08	0.54	0.46	0	0	0.01	0.99	
19	0.01	0.75	0.24	0	0.99	0.01	0.54	0.46	0	0	0.99	0.01	0.92	0.08	0	0.04	0.38	0.58	0	0.92	0.08	0.38	0.62	0	0	0.01	0.99	
20	0	0.75	0.25	0.01	0.98	0.01	0.75	0.25	0	0	0.99	0.01	0.55	0.45	0	0.05	0.33	0.62	0	0.92	0.08	0.54	0.46	0	0	0.01	0.99	
