bins	20	40	60	80	100	120	140	160	180	200	220	240	260	280	300	320	340	360	380	400	420	440	460	480	500	520	540	560	580	600	620	640	660	680	700	720	740	760	780	800	820	840	860	880	900	920	940	960	980	1000	
bas	100	15	46	87	93	94	90	18	17	16	36	94	94	92	86	27	15	18	53	91	92	90	77	16	18	20	65	90	93	92	76	14	16	21	81	94	92	91	48	18	18	30	82	92	92	82	22	14	21	60	
bins	20	40	60	80	100	120	140	160	180	200	220	240	260	280	300	320	340	360	380	400	420	440	460	480	500	520	540	560	580	600	620	640	660	680	700	720	740	760	780	800	820	840	860	880	900	920	940	960	980	1000	
bis	97	27	64	66	23	17	15	17	34	40	54	71	19	16	16	14	30	43	63	59	17	17	14	20	36	41	71	61	16	16	15	23	36	44	72	43	16	17	16	30	33	51	68	31	16	15	18	35	44	66	
bins	20	40	60	80	100	120	140	160	180	200	220	240	260	280	300	320	340	360	380	400	420	440	460	480	500	520	540	560	580	600	620	640	660	680	700	720	740	760	780	800	820	840	860	880	900	920	940	960	980	1000	
ec	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
bins	20	40	60	80	100	120	140	160	180	200	220	240	260	280	300	320	340	360	380	400	420	440	460	480	500	520	540	560	580	600	620	640	660	680	700	720	740	760	780	800	820	840	860	880	900	920	940	960	980	1000	
ex	56	92	73	22	1	0	0	79	85	70	66	18	0	0	0	66	83	69	50	6	0	0	4	86	79	68	55	8	0	1	7	85	79	68	42	6	0	0	26	86	71	65	25	1	0	5	61	79	70	50	
bins	20	40	60	80	100	120	140	160	180	200	220	240	260	280	300	320	340	360	380	400	420	440	460	480	500	520	540	560	580	600	620	640	660	680	700	720	740	760	780	800	820	840	860	880	900	920	940	960	980	1000	
ext	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
bins	20	40	60	80	100	120	140	160	180	200	220	240	260	280	300	320	340	360	380	400	420	440	460	480	500	520	540	560	580	600	620	640	660	680	700	720	740	760	780	800	820	840	860	880	900	920	940	960	980	1000	
hipp	61	67	94	86	2	0	0	0	93	90	88	81	5	0	0	7	90	91	82	61	1	0	0	17	94	89	88	60	2	0	0	27	93	89	83	38	1	0	0	78	90	88	74	14	0	0	15	87	90	88	
bins	20	40	60	80	100	120	140	160	180	200	220	240	260	280	300	320	340	360	380	400	420	440	460	480	500	520	540	560	580	600	620	640	660	680	700	720	740	760	780	800	820	840	860	880	900	920	940	960	980	1000	
in	95	0	9	62	82	82	74	1	0	0	6	82	79	77	74	5	0	2	23	79	77	75	53	0	0	3	35	80	77	77	48	0	0	2	51	82	79	76	23	1	0	4	59	77	77	60	5	0	2	26	
bins	20	40	60	80	100	120	140	160	180	200	220	240	260	280	300	320	340	360	380	400	420	440	460	480	500	520	540	560	580	600	620	640	660	680	700	720	740	760	780	800	820	840	860	880	900	920	940	960	980	1000	
ps	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
bins	20	40	60	80	100	120	140	160	180	200	220	240	260	280	300	320	340	360	380	400	420	440	460	480	500	520	540	560	580	600	620	640	660	680	700	720	740	760	780	800	820	840	860	880	900	920	940	960	980	1000	
septum	100	13	0	5	5	3	97	27	68	5	1	6	5	3	82	57	34	5	5	2	7	13	91	48	42	5	5	2	6	22	78	68	18	2	5	4	4	44	69	56	15	0	7	5	12	75	54	36	6	2	
